fund_company,establish_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,award_count
兴证全球基金管理有限公司,2003/9/30,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,10
易方达基金管理有限公司,2001/4/17,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,10
嘉实基金管理有限公司,1999/3/25,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,9
富国基金管理有限公司,1999/4/13,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,9
华夏基金管理有限公司,1998/4/9,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,8
广发基金管理有限公司,2003/8/5,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,8
银华基金管理股份有限公司,2001/5/28,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,8
中欧基金管理有限公司,2006/7/19,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7
景顺长城基金管理有限公司,2003/6/12,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,7
南方基金管理股份有限公司,1998/3/6,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,6
华安基金管理有限公司,1998/6/4,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,6
鹏华基金管理有限公司,1998/12/22,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,6
交银施罗德基金管理有限公司,2005/8/4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,6
博时基金管理有限公司,1998/7/13,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,5
中银基金管理有限公司,2004/8/12,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,5
海富通基金管理有限公司,2003/4/18,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
建信基金管理有限责任公司,2005/9/19,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,4
大成基金管理有限公司,1999/4/12,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
华商基金管理有限公司,2005/12/20,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,4
工银瑞信基金管理有限公司,2005/6/21,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
国泰基金管理有限公司,1998/3/5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3
银河基金管理有限公司,2002/6/14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
泰达宏利基金管理有限公司,2002/6/6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
长盛基金管理有限公司,1999/3/26,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
农银汇理基金管理有限公司,2008/3/18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3
汇添富基金管理股份有限公司,2005/2/3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
华宝基金管理有限公司,2003/3/7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
万家基金管理有限公司,2002/8/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
上投摩根基金管理有限公司,2004/5/12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
诺安基金管理有限公司,2003/12/9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
宝盈基金管理有限公司,2001/5/18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
民生加银基金管理有限公司,2008/11/3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
天弘基金管理有限公司,2004/11/8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
招商基金管理有限公司,2002/12/27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
兴业基金管理有限公司,2013/4/17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
华泰柏瑞基金管理有限公司,2004/11/18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
长城基金管理有限公司,2001/12/27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
前海开源基金管理有限公司,2013/1/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
融通基金管理有限公司,2001/5/22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
长信基金管理有限责任公司,2003/5/9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
安信基金管理有限责任公司,2011/12/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
摩根士丹利华鑫基金管理有限公司,2003/3/14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
平安基金管理有限公司,2011/1/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浦银安盛基金管理有限公司,2007/8/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海东方证券资产管理有限公司,2010/6/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国寿安保基金管理有限公司,2013/10/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永赢基金管理有限公司,2013/11/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国投瑞银基金管理有限公司,2002/6/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中信保诚基金管理有限公司,2005/9/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中银国际证券股份有限公司,2002/2/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中融基金管理有限公司,2013/5/31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
